"Semana","Temporada","Clave_producto","Precio_semanal"
"3","2015-2016",61301,103.847261394697
"3","2015-2016",101001,100
"3","2015-2016",130201,55.8333333333333
"3","2015-2016",140201,47.4147727272727
"3","2015-2016",210401,300
"3","2015-2016",210402,433.333333333333
"3","2015-2016",210404,682.146763634967
"3","2015-2016",221201,103.75
"3","2015-2016",230202,164.476555391685
"3","2015-2016",311001,110
"3","2015-2016",341001,104.066438499686
"3","2015-2016",380204,200
"3","2016-2017",10201,109.982783975125
"3","2016-2017",10204,165.88527302813
"3","2016-2017",61301,96.6666666666667
"3","2016-2017",120301,150.563903431117
"3","2016-2017",130201,30
"3","2016-2017",210401,346
"3","2016-2017",210402,490
"3","2016-2017",210404,490
"3","2016-2017",221201,94.8804990151018
"3","2016-2017",230202,151.593412001089
"3","2016-2017",401004,165
"3","2017-2018",10201,91.5533499562544
"3","2017-2018",10204,213.75941307897
"3","2017-2018",61301,88.9166701190378
"3","2017-2018",101001,85
"3","2017-2018",120301,124.169507342095
"3","2017-2018",210401,293.333333333333
"3","2017-2018",210402,406.127450980392
"3","2017-2018",210404,658.772727272727
"3","2017-2018",210410,1050
